tract_geoid,NAME,state_fips,total_population,median_household_income
48029150100,Census Tract 1501; Bexar County; Texas,48,5141,65909
48029150300,Census Tract 1503; Bexar County; Texas,48,3409,36136
48029150400,Census Tract 1504; Bexar County; Texas,48,4212,37478
48029150501,Census Tract 1505.01; Bexar County; Texas,48,4042,46069
48029150502,Census Tract 1505.02; Bexar County; Texas,48,3312,52528
48029150600,Census Tract 1506; Bexar County; Texas,48,4388,53445
48029150700,Census Tract 1507; Bexar County; Texas,48,5459,34488
48029150800,Census Tract 1508; Bexar County; Texas,48,2868,20908
48029150900,Census Tract 1509; Bexar County; Texas,48,6972,41281
48029151000,Census Tract 1510; Bexar County; Texas,48,3391,42036
48029151100,Census Tract 1511; Bexar County; Texas,48,6651,51974
48029151200,Census Tract 1512; Bexar County; Texas,48,11282,56838
48029151301,Census Tract 1513.01; Bexar County; Texas,48,5299,48711
48029151302,Census Tract 1513.02; Bexar County; Texas,48,3216,47031
48029151400,Census Tract 1514; Bexar County; Texas,48,4567,68101
48029151500,Census Tract 1515; Bexar County; Texas,48,2283,41955
48029151600,Census Tract 1516; Bexar County; Texas,48,7928,56136
48029151700,Census Tract 1517; Bexar County; Texas,48,7206,59167
48029151900,Census Tract 1519; Bexar County; Texas,48,8713,70338
48029152000,Census Tract 1520; Bexar County; Texas,48,3032,61917
48029152100,Census Tract 1521; Bexar County; Texas,48,6549,74797
48029152201,Census Tract 1522.01; Bexar County; Texas,48,8279,41466
48029152202,Census Tract 1522.02; Bexar County; Texas,48,6459,54176
48029160100,Census Tract 1601; Bexar County; Texas,48,6949,25408
48029160200,Census Tract 1602; Bexar County; Texas,48,2806,39038
48029160300,Census Tract 1603; Bexar County; Texas,48,5795,57797
48029160400,Census Tract 1604; Bexar County; Texas,48,4770,39125
48029160501,Census Tract 1605.01; Bexar County; Texas,48,4922,18338
48029160502,Census Tract 1605.02; Bexar County; Texas,48,4056,46287
48029160600,Census Tract 1606; Bexar County; Texas,48,4632,41694
48029160701,Census Tract 1607.01; Bexar County; Texas,48,4081,45238
48029160702,Census Tract 1607.02; Bexar County; Texas,48,5083,29008
48029160901,Census Tract 1609.01; Bexar County; Texas,48,2777,48594
48029160902,Census Tract 1609.02; Bexar County; Texas,48,4620,45195
48029161000,Census Tract 1610; Bexar County; Texas,48,4329,35032
48029161100,Census Tract 1611; Bexar County; Texas,48,8553,59099
48029161200,Census Tract 1612; Bexar County; Texas,48,4228,41506
48029161302,Census Tract 1613.02; Bexar County; Texas,48,5716,49660
48029161303,Census Tract 1613.03; Bexar County; Texas,48,4558,46750
48029161304,Census Tract 1613.04; Bexar County; Texas,48,4626,45417
48029161400,Census Tract 1614; Bexar County; Texas,48,7834,73750
48029161501,Census Tract 1615.01; Bexar County; Texas,48,7912,36143
48029161503,Census Tract 1615.03; Bexar County; Texas,48,5620,44938
48029161504,Census Tract 1615.04; Bexar County; Texas,48,5643,57188
48029161600,Census Tract 1616; Bexar County; Texas,48,4833,45869
48029161801,Census Tract 1618.01; Bexar County; Texas,48,3398,66583
48029161802,Census Tract 1618.02; Bexar County; Texas,48,9762,49972
48029161901,Census Tract 1619.01; Bexar County; Texas,48,1212,89519
48029161902,Census Tract 1619.02; Bexar County; Texas,48,15555,75036
48029162001,Census Tract 1620.01; Bexar County; Texas,48,2489,58387
48029162003,Census Tract 1620.03; Bexar County; Texas,48,5661,72448
48029162004,Census Tract 1620.04; Bexar County; Texas,48,3637,61412
48029170101,Census Tract 1701.01; Bexar County; Texas,48,3536,39770
48029170102,Census Tract 1701.02; Bexar County; Texas,48,2891,26846
48029170200,Census Tract 1702; Bexar County; Texas,48,4746,23209
48029170300,Census Tract 1703; Bexar County; Texas,48,5353,29295
